,液状化履歴,geometry
76,1923_土地が陥没した地域,"POLYGON ((15556551.319704575 4240017.636528348, 15556551.321173847 4240302.806620791, 15556899.195123687 4240302.805575485, 15556899.193654416 4240017.635483071, 15556551.319704575 4240017.636528348))"
77,1923_土地が陥没した地域,"POLYGON ((15556203.447223976 4240302.807666095, 15556203.448692545 4240587.848330537, 15556551.32264241 4240587.847285206, 15556551.321173847 4240302.806620791, 15556203.447223976 4240302.807666095))"
78,1923_土地が陥没した地域,"POLYGON ((15556551.321173847 4240302.806620791, 15556551.32264241 4240587.847285206, 15556899.196592255 4240587.846239871, 15556899.195123687 4240302.805575485, 15556551.321173847 4240302.806620791))"
79,1923_土地が陥没した地域,"POLYGON ((15555855.574742673 4240587.849375866, 15555855.576211236 4240872.897449148, 15556203.450161109 4240872.896403791, 15556203.448692545 4240587.848330537, 15555855.574742673 4240587.849375866))"
80,1923_土地が陥没した地域,"POLYGON ((15555507.702261373 4240872.898494504, 15555507.703730617 4241158.090827678, 15555855.577680483 4241158.089782294, 15555855.576211236 4240872.897449148, 15555507.702261373 4240872.898494504))"
81,1923_土地が陥没した地域,"POLYGON ((15555855.576211236 4240872.897449148, 15555855.577680483 4241158.089782294, 15556203.451630358 4241158.088736909, 15556203.450161109 4240872.896403791, 15555855.576211236 4240872.897449148))"
82,1923_土地が陥没した地域,"POLYGON ((15556203.448692545 4240587.848330537, 15556203.450161109 4240872.896403791, 15556551.32411097 4240872.895358433, 15556551.32264241 4240587.847285206, 15556203.448692545 4240587.848330537))"
83,1923_土地が陥没した地域,"POLYGON ((15556551.32264241 4240587.847285206, 15556551.32411097 4240872.895358433, 15556899.198060825 4240872.894313068, 15556899.196592255 4240587.846239871, 15556551.32264241 4240587.847285206))"
84,1923_土地が陥没した地域,"POLYGON ((15556203.450161109 4240872.896403791, 15556203.451630358 4241158.088736909, 15556551.325580228 4241158.087691525, 15556551.32411097 4240872.895358433, 15556203.450161109 4240872.896403791))"
85,1923_土地が陥没した地域,"POLYGON ((15556551.32411097 4240872.895358433, 15556551.325580228 4241158.087691525, 15556899.199530087 4241158.086646129, 15556899.198060825 4240872.894313068, 15556551.32411097 4240872.895358433))"
86,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15548202.353566406 4242013.458619523, 15548202.354416624 4242298.543613406, 15548550.229062187 4242298.543138152, 15548550.228289241 4242013.458191784, 15548202.353566406 4242013.458619523))"
87,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15548550.225970035 4241158.110975094, 15548550.226742981 4241443.1736823525, 15548898.100557566 4241443.172779497, 15548898.099688003 4241158.110024752, 15548550.225970035 4241158.110975094))"
88,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15548898.099688003 4241158.110024752, 15548898.100557566 4241443.172779497, 15549245.974372147 4241443.171876641, 15549245.973405974 4241158.10907441, 15548898.099688003 4241158.110024752))"
89,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15548550.226742981 4241443.1736823525, 15548550.227515925 4241728.243800697, 15548898.101427117 4241728.242945331, 15548898.100557566 4241443.172779497, 15548550.226742981 4241443.1736823525))"
90,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15548898.100557566 4241443.172779497, 15548898.101427117 4241728.242945331, 15549245.97533832 4241728.242089964, 15549245.974372147 4241443.171876641, 15548898.100557566 4241443.172779497))"
91,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549245.973405974 4241158.10907441, 15549245.974372147 4241443.171876641, 15549593.848186724 4241443.170973783, 15549593.84712394 4241158.108124068, 15549245.973405974 4241158.10907441))"
92,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549593.84712394 4241158.108124068, 15549593.848186724 4241443.170973783, 15549941.722001312 4241443.17007092, 15549941.72084192 4241158.107173723, 15549593.84712394 4241158.108124068))"
93,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549245.974372147 4241443.171876641, 15549245.97533832 4241728.242089964, 15549593.849249514 4241728.241234595, 15549593.848186724 4241443.170973783, 15549245.974372147 4241443.171876641))"
94,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549593.848186724 4241443.170973783, 15549593.849249514 4241728.241234595, 15549941.723160705 4241728.240379215, 15549941.722001312 4241443.17007092, 15549593.848186724 4241443.170973783))"
95,1923_激しい液状化が生じた地域をおおよそ確定可,"POLYGON ((15548550.227515925 4241728.243800697, 15548550.228289241 4242013.458191784, 15548898.102297097 4242013.457383931, 15548898.101427117 4241728.242945331, 15548550.227515925 4241728.243800697))"
96,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15548898.101427117 4241728.242945331, 15548898.102297097 4242013.457383931, 15549245.976304954 4242013.456576079, 15549245.97533832 4241728.242089964, 15548898.101427117 4241728.242945331))"
97,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15548550.228289241 4242013.458191784, 15548550.229062187 4242298.543138152, 15548898.103166658 4242298.542377792, 15548898.102297097 4242013.457383931, 15548550.228289241 4242013.458191784))"
98,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549245.97533832 4241728.242089964, 15549245.976304954 4242013.456576079, 15549593.850312812 4242013.455768227, 15549593.849249514 4241728.241234595, 15549245.97533832 4241728.242089964))"
99,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549593.849249514 4241728.241234595, 15549593.850312812 4242013.455768227, 15549941.724320656 4242013.454960352, 15549941.723160705 4241728.240379215, 15549593.849249514 4241728.241234595))"
100,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549245.976304954 4242013.456576079, 15549245.977271128 4242298.541617434, 15549593.851375597 4242298.540857075, 15549593.850312812 4242013.455768227, 15549245.976304954 4242013.456576079))"
101,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15549941.72084192 4241158.107173723, 15549941.722001312 4241443.17007092, 15550289.595815904 4241443.1690967865, 15550289.594637185 4241158.10622337, 15549941.72084192 4241158.107173723))"
102,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555159.83101743 4241443.154674843, 15555159.832331406 4241728.224887714, 15555507.706358578 4241728.223842274, 15555507.705044597 4241443.1536294315, 15555159.83101743 4241443.154674843))"
103,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555159.832331406 4241728.224887714, 15555159.833646018 4242013.439373378, 15555507.707673188 4242013.438327911, 15555507.706358578 4241728.223842274, 15555159.832331406 4241728.224887714))"
104,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555159.833646018 4242013.439373378, 15555159.834959997 4242298.524414278, 15555507.708987167 4242298.523368785, 15555507.707673188 4242013.438327911, 15555159.833646018 4242013.439373378))"
105,1923_土地が陥没した地域,"POLYGON ((15555507.703730617 4241158.090827678, 15555507.705044597 4241443.1536294315, 15555855.579013787 4241443.152584019, 15555855.577680483 4241158.089782294, 15555507.703730617 4241158.090827678))"
106,1923_土地が陥没した地域,"POLYGON ((15555855.577680483 4241158.089782294, 15555855.579013787 4241443.152584019, 15556203.452982986 4241443.151538606, 15556203.451630358 4241158.088736909, 15555855.577680483 4241158.089782294))"
107,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555507.705044597 4241443.1536294315, 15555507.706358578 4241728.223842274, 15555855.580347093 4241728.222796836, 15555855.579013787 4241443.152584019, 15555507.705044597 4241443.1536294315))"
108,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555855.579013787 4241443.152584019, 15555855.580347093 4241728.222796836, 15556203.454335615 4241728.221751396, 15556203.452982986 4241443.151538606, 15555855.579013787 4241443.152584019))"
109,1923_土地が陥没した地域,"POLYGON ((15556203.451630358 4241158.088736909, 15556203.452982986 4241443.151538606, 15556551.32695218 4241443.150493193, 15556551.325580228 4241158.087691525, 15556203.451630358 4241158.088736909))"
110,1923_土地が陥没した地域,"POLYGON ((15556551.325580228 4241158.087691525, 15556551.32695218 4241443.150493193, 15556899.200921366 4241443.149447775, 15556899.199530087 4241158.086646129, 15556551.325580228 4241158.087691525))"
111,1923_土地が陥没した地域,"POLYGON ((15556203.452982986 4241443.151538606, 15556203.454335615 4241728.221751396, 15556551.32832413 4241728.220705958, 15556551.32695218 4241443.150493193, 15556203.452982986 4241443.151538606))"
112,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555507.706358578 4241728.223842274, 15555507.707673188 4242013.438327911, 15555855.581681035 4242013.437282444, 15555855.580347093 4241728.222796836, 15555507.706358578 4241728.223842274))"
113,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555855.580347093 4241728.222796836, 15555855.581681035 4242013.437282444, 15556203.455688892 4242013.436236977, 15556203.454335615 4241728.221751396, 15555855.580347093 4241728.222796836))"
114,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555507.707673188 4242013.438327911, 15555507.708987167 4242298.523368785, 15555855.58301434 4242298.52232329, 15555855.581681035 4242013.437282444, 15555507.707673188 4242013.438327911))"
115,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15548202.354416624 4242298.543613406, 15548202.355208876 4242583.636068187, 15548550.229835117 4242583.635592917, 15548550.229062187 4242298.543138152, 15548202.354416624 4242298.543613406))"
116,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555159.834959997 4242298.524414278, 15555159.836331947 4242583.616963593, 15555507.71037844 4242583.615918072, 15555507.708987167 4242298.523368785, 15555159.834959997 4242298.524414278))"
117,1923_軽度の液状化が生じた地域をおおよそ確定可,"POLYGON ((15555159.836331947 4242583.616963593, 15555159.837704556 4242868.853798715, 15555507.711770378 4242868.852753169, 15555507.71037844 4242583.615918072, 15555159.836331947 4242583.616963593))"
118,1923_激しい液状化が生じた地点不確定、地域確定可,"POLYGON ((15555507.708987167 4242298.523368785, 15555507.71037844 4242583.615918072, 15555855.584405614 4242583.614872551, 15555855.58301434 4242298.52232329, 15555507.708987167 4242298.523368785))"
